PRKCH,HPA026294;HPA053709;
VRK2,CAB046459;HPA047503;
VEZT,HPA004811;HPA017066;
BRD9,HPA021465;HPA023197;
SNX1,HPA047373;HPA052761;
RABEP1,CAB004549;HPA019669;HPA024235;HPA024691;
HMGB3,HPA062583;
FAM13B,HPA036525;HPA041819;HPA071936;
CENPQ,HPA029043;HPA046634;HPA054965;
SARS,HPA016939;HPA064668;
RANBP3,HPA043375;HPA043389;
EIPR1,HPA031231;HPA031232;HPA031233;HPA031234;
ZCCHC8,HPA037483;HPA037484;
ABCF2,HPA020091;CAB020682;HPA021815;HPA030388;
FUT8,CAB017129;HPA043410;
PIAS1,HPA005743;CAB012304;
SLC4A7,CAB022494;HPA035857;
MAP2K3,CAB018548;
ASTE1,HPA037010;HPA037011;
SH3YL1,HPA030926;HPA030927;
FAM136A,HPA030103;HPA030104;
DEPDC1B,HPA038255;HPA072558;
NSMAF,HPA023067;HPA023148;HPA023151;
STAP1,HPA038529;
RFC1,CAB009520;HPA046116;HPA069306;
TBC1D23,HPA038151;HPA038152;
MYOM2,HPA001765;HPA005953;
AC118549.1,HPA053663;HPA054913;HPA066197;
RPL26L1,HPA030449;
FLT4,CAB000099;HPA046519;HPA067906;HPA074389;
NSUN2,HPA037896;
FBXO42,HPA025071;
MFAP3,HPA015883;HPA049198;
METTL1,HPA020914;HPA050450;
HOXC8,HPA028911;CAB037020;
PI4K2B,HPA004099;
BOD1L1,HPA036943;HPA037362;HPA041290;
TRIO,HPA008157;HPA064664;
VCAN,HPA004726;CAB008979;
CLEC16A,HPA035814;HPA035815;HPA061385;
MTREX,HPA037379;
ZFYVE16,HPA035935;HPA035936;
RIPOR1,HPA005923;
RAI14,HPA036949;HPA036950;
PNKP,HPA006782;
SPDL1,HPA044700;HPA048146;
STAU2,HPA019155;CAB020836;
PQLC2,HPA057810;
CTNS,HPA046947;
RTN4R,CAB012443;
PHF23,HPA052410;
THAP3,HPA067114;
SPATA7,HPA038082;HPA038083;
RETSAT,HPA007961;HPA046513;
CAPG,HPA018843;HPA019080;HPA019092;
DCUN1D1,HPA035911;
JADE2,HPA025959;HPA055789;
PHKA2,HPA002912;
HSPA5,CAB005221;HPA038845;HPA038846;
GEMIN8,HPA028613;
POLR2B,HPA037506;
FAM214A,HPA039369;HPA040180;
TPR,HPA019661;HPA019663;HPA024336;
DTNBP1,HPA028053;HPA029615;HPA029616;
XK,HPA019036;
ANO2,HPA036276;HPA057499;
C12orf4,HPA037871;
SCML1,HPA035270;HPA035271;HPA061397;
WWC3,HPA039814;
MAP4,HPA038149;HPA038150;
GOPC,HPA019477;HPA024018;
HDAC9,HPA028926;
TSPAN17,HPA030447;
NOP16,HPA036506;HPA058147;
RRM2B,CAB006854;HPA028812;
ZNF800,HPA023090;HPA052194;
MRPS10,HPA029133;HPA029134;
RSF1,CAB022626;HPA046129;HPA057547;HPA064567;
FAM120A,HPA019734;HPA055800;
R3HDM1,HPA030936;
H6PD,HPA004824;HPA005440;
PER3,HPA019530;
LTBP1,HPA005707;CAB025428;
RCN1,HPA038474;HPA062104;
RFC2,HPA029493;
CLPTM1L,HPA014791;
FOXP3,CAB026301;HPA045943;
NFE2L3,HPA055889;
LIMA1,HPA023871;HPA052645;
BCAR1,CAB000443;HPA042282;
HERPUD1,CAB037041;CAB037104;HPA040754;HPA041219;
HOMER3,CAB032656;HPA040999;CAB079015;
POLQ,HPA053359;
MPHOSPH9,HPA037485;
PLEKHA5,HPA035923;HPA035924;HPA041455;
SIKE1,HPA024177;HPA025726;
FNIP2,HPA042779;HPA052758;HPA072420;
TTC17,HPA038508;
FSTL4,HPA045920;
MRTO4,HPA026446;
MCF2L2,HPA038946;HPA038947;
ANAPC4,CAB032519;HPA038395;HPA038396;
THRAP3,HPA012041;CAB017472;HPA063765;
LY75,CAB001450;HPA049108;HPA054073;
FOXC1,HPA040670;
TBC1D22A,HPA001173;
SYNE2,HPA003435;HPA050204;
PLEKHH1,HPA047707;HPA051964;
FAM168A,HPA037580;
RELT,HPA062824;HPA071518;
NOP58,HPA018472;HPA021062;
SZRD1,HPA024221;
CUL1,CAB002676;HPA064584;
EIF2AK2,CAB003845;HPA019795;HPA063893;
MCOLN3,HPA018106;HPA062137;
PUM2,HPA030316;HPA049670;
ITIH1,HPA041639;HPA042049;
HPF1,HPA043467;
ZFR,HPA016666;
ZNF280C,HPA051494;HPA055788;
NPFFR2,HPA026825;
TRAF1,HPA001852;CAB009593;
TRAF3IP2,HPA036352;
GYG2,HPA005495;HPA064686;
DCBLD2,HPA016909;
SERPINB3,CAB018772;CAB036006;CAB036007;HPA048341;HPA049988;HPA055992;
PKP2,HPA014314;CAB037336;HPA056908;
PRDM1,HPA030033;HPA075427;
ATG5,CAB034432;CAB037309;HPA042973;
MTA3,HPA039433;
ATP11B,HPA036237;HPA036238;
LAMC2,CAB004257;HPA024638;CAB078165;
CDK14,HPA015267;
SEC61A1,CAB022076;
RASGRF1,CAB010413;HPA041965;
CAMK2B,CAB006849;HPA026307;HPA051783;HPA051785;HPA053973;
CROCC,HPA021191;HPA021762;
POLR3E,HPA041419;HPA041477;
ATP2B4,CAB016118;HPA040431;
ZC3H11A,HPA026439;HPA028490;HPA028526;
RIOK2,HPA005681;
DGKG,HPA036577;
ALDH18A1,HPA008333;HPA012604;
GATB,HPA042610;
MXD1,HPA001599;
DNAJC25,HPA019122;
YBX3,HPA034838;
CCAR1,HPA007856;HPA048513;
OGFR,HPA017899;
QSER1,HPA005682;
MPC1,HPA045119;HPA055790;
ACAA1,HPA006764;HPA007244;
HDAC7,HPA004775;
LZTS1,HPA006294;HPA022046;
PRDM6,HPA030324;
NCKAP1,HPA020449;
SFSWAP,HPA039362;HPA040063;
TNK2,HPA041954;
ARSF,HPA000549;
ZNF112,HPA023856;
CS,HPA038460;HPA038461;CAB075750;CAB075751;CAB075752;CAB075753;CAB075754;
ELMO2,HPA018811;
VMP1,HPA030773;HPA064780;
EIF4B,HPA039072;HPA046164;
