TSPAN6,HPA004109;
DYRK4,HPA028065;HPA056073;
ZNF207,HPA017013;HPA063908;
UQCRC1,HPA002815;HPA003525;CAB033782;
STARD3NL,HPA019204;
CD9,CAB002490;
HHATL,HPA018174;
NCAPD2,CAB012423;HPA036947;HPA037363;
GIPR,CAB022710;
SEMA3G,HPA001761;
NISCH,HPA023189;
STAB1,HPA005434;
PRSS3,HPA062452;HPA063471;
ZNF200,HPA018981;HPA059310;
CD4,CAB000011;HPA004252;HPA004472;CAB068180;
LRRC23,HPA037766;HPA057533;
BTK,HPA001198;HPA002028;CAB016689;
HFE,HPA017276;HPA053470;
FYN,CAB005034;CAB018387;HPA023887;HPA063770;
ELOA,HPA005910;
CLCN6,HPA032097;
MRC2,HPA041991;
SLC6A7,HPA028907;
TSPAN9,HPA014002;
BTBD7,HPA049926;HPA053406;
APBA3,HPA045577;
MKS1,HPA021372;HPA021812;
ABHD5,CAB020685;HPA035851;HPA035852;
AKAP8L,HPA042485;HPA042546;
MBTD1,HPA021876;
UTP18,HPA052378;
RNF216,HPA018955;HPA021123;
TTC19,HPA023010;HPA052380;
PTBP1,CAB013507;
DPF1,HPA049148;
SYT7,HPA012869;
PIK3C2A,HPA037641;HPA037642;
PLAUR,HPA050843;CAB073533;
ANLN,HPA005680;CAB033902;HPA050556;CAB062547;CAB068175;
WIZ,HPA022923;HPA023774;
QPCTL,HPA040797;
PPP5C,CAB022641;HPA029065;HPA056933;
CEP68,HPA040493;HPA040620;
MAP4K3,HPA030380;
TYROBP,CAB009493;HPA041899;
TMEM159,HPA018033;HPA063509;
ERCC1,CAB004390;HPA029773;HPA050182;CAB072859;CAB072860;
CD22,CAB002418;HPA024353;
SEMA3B,HPA030651;
MBTPS2,HPA005494;CAB009486;
PRICKLE3,HPA000998;
LTF,CAB008646;CAB016201;HPA057177;HPA059976;
CALCOCO1,HPA038313;HPA038314;
UBR7,HPA000861;
MAP4K5,HPA036696;HPA078030;
EHD3,HPA049890;HPA049986;HPA066751;
PSMC4,HPA002044;HPA005471;
SLC7A14,HPA045929;
CLDN11,CAB009789;HPA013166;HPA013657;
SLC25A39,HPA026785;
MVP,HPA002321;CAB002752;CAB022717;HPA064740;
NUB1,HPA021220;HPA050722;HPA053648;
RWDD2A,HPA030105;HPA030106;HPA030107;
CLK1,CAB033141;HPA062405;
POLR3B,HPA036466;
ANGEL1,HPA000948;
RNF14,HPA008716;HPA064746;
DDX11,HPA065197;
HEBP1,HPA056417;HPA075277;
MAMLD1,HPA003923;
CD6,CAB002489;CAB016252;
TACC3,HPA005781;HPA006050;CAB010111;HPA022039;
POLA2,HPA037570;
ZC3H3,HPA023658;HPA050577;
CAPN1,HPA005992;
ACPP,CAB000071;HPA004335;HPA063916;
MDH1,HPA027296;CAB047333;HPA054276;
SLC30A9,HPA004014;
MTMR11,HPA030351;HPA072906;
COX15,HPA037727;HPA037728;HPA066096;
CCDC88C,HPA005832;
YAF2,HPA026867;
WAS,HPA002022;CAB004290;
DPEP1,HPA009426;HPA012783;
BID,HPA000722;CAB003771;
MATR3,CAB033552;HPA036564;HPA036565;
NPC1L1,CAB070127;CAB070128;
RGPD5,HPA045704;HPA049497;HPA051675;HPA067564;
NUDCD3,HPA019136;HPA019528;HPA019529;
ISL1,HPA048613;HPA057416;
CHDH,HPA036633;HPA058130;
IL20RA,CAB024990;HPA042281;
CLCA1,HPA052787;HPA059301;
CLCA4,HPA017045;HPA064770;
GLT8D1,HPA010588;
ATP2C1,CAB010207;HPA035116;HPA069684;
IGF1,HPA048946;
RALBP1,CAB046010;HPA046651;
CNTN1,CAB025200;HPA070467;
SLC11A1,HPA029590;HPA050378;HPA068540;
WWTR1,HPA007415;CAB017483;CAB068248;
AGPS,HPA030209;HPA030210;HPA030211;
CXorf56,HPA038245;HPA038617;HPA064831;
TTC27,HPA031246;
ZNF582,HPA028858;
VSIG2,HPA035919;HPA050147;
PHLDB1,HPA037959;HPA038448;HPA061506;
MARCO,HPA063793;
PRDM11,HPA057072;
SYT13,HPA046224;HPA056602;
SNAI2,CAB011671;
CD74,CAB002506;HPA010592;
HGF,CAB010333;HPA040360;HPA044088;
ZRANB1,HPA029239;HPA029240;HPA029241;
NCDN,HPA023676;
ADGRA2,HPA012393;
ZFP64,HPA035112;HPA058387;
MNAT1,HPA000701;HPA001154;CAB004495;
SAMD4A,HPA043061;HPA065309;
RUNX3,HPA004195;CAB025416;HPA059006;
MRE11,HPA002691;CAB004081;
SERPINB1,HPA018871;HPA018882;HPA052642;
CYP3A43,HPA066463;HPA072245;HPA075539;
SLC7A9,HPA042591;
SPAST,HPA017311;
NRXN3,HPA002727;
OSBPL5,HPA038335;HPA038712;HPA058727;
CPS1,CAB003781;HPA021400;
C8B,HPA023694;
FHL1,HPA001040;HPA001391;CAB020817;
RTF2,HPA053986;
GABRA1,CAB022502;HPA029363;HPA055746;
SLC45A4,HPA023154;
RNF10,HPA052643;
ZDHHC6,HPA014357;
GRAMD1B,HPA008557;HPA075204;
NDUFS1,HPA064605;CAB070844;
ERP44,HPA001318;
ALAS1,CAB017498;HPA035860;
BIRC3,HPA002317;
AKAP11,HPA039089;
GLRX2,HPA023087;HPA057224;
STRAP,HPA027320;HPA055557;HPA073876;
DEF6,HPA038975;HPA038976;
GCLM,CAB009568;HPA023696;CAB040554;
UBR2,HPA027869;HPA027880;
EHD2,HPA047394;HPA049890;HPA049986;HPA066751;
DEPDC1,CAB017845;
CCDC28A,HPA055125;
HSF2,CAB016067;HPA031455;
PHF20,HPA029619;HPA029620;HPA029621;
HSD17B6,HPA059141;
NR1H3,HPA036443;CAB037109;
TYMP,HPA000530;HPA001072;CAB002518;
NCAPH2,HPA067932;HPA069056;
TOMM34,HPA018845;HPA056875;
SEC63,HPA053295;HPA060535;
KPNA6,HPA018863;
FAS,HPA027444;
RNASET2,HPA029013;HPA066509;
KCNG1,HPA039530;HPA040024;
AGPAT4,HPA053287;HPA060525;
SLAMF7,CAB015445;HPA055945;HPA061654;
BTN3A1,HPA012565;
MIPEP,HPA030676;HPA031669;HPA031670;
INSRR,HPA025285;
IFNGR1,CAB025889;HPA029213;HPA063871;
VRK2,CAB046459;HPA047503;
TNFRSF1B,HPA004796;
VEZT,HPA004811;HPA017066;
POU2F2,CAB002513;HPA049056;HPA062096;HPA064404;HPA073998;
SNX1,HPA047373;HPA052761;
ARNTL2,HPA059074;
BCLAF1,HPA006484;HPA006669;HPA027770;
SLC39A9,HPA007921;HPA075390;
ANK1,HPA004842;HPA056953;
TFB1M,HPA029428;
RABEP1,CAB004549;HPA019669;HPA024235;HPA024691;
HMGB3,HPA062583;
BAK1,CAB005029;
IKZF2,HPA059142;
FAM13B,HPA036525;HPA041819;HPA071936;
ARHGAP31,HPA036380;
CENPQ,HPA029043;HPA046634;HPA054965;
SARS,HPA016939;HPA064668;
RANBP3,HPA043375;HPA043389;
PNPLA6,HPA007522;HPA064773;
ALG1,HPA060392;
ZCCHC8,HPA037483;HPA037484;
ABCF2,HPA020091;CAB020682;HPA021815;HPA030388;
FUT8,CAB017129;HPA043410;
UBA6,HPA037001;
ATP6V0A1,HPA022144;
PIAS1,HPA005743;CAB012304;
SLC4A7,CAB022494;HPA035857;
APBA2,CAB037065;HPA058796;HPA070376;
ASTE1,HPA037010;HPA037011;
PEX3,HPA042830;HPA058006;
GABARAPL2,HPA036726;
MYOC,HPA027364;
SH3YL1,HPA030926;HPA030927;
FAM136A,HPA030103;HPA030104;
VCL,HPA002131;CAB002453;HPA063777;
ADSS,HPA024400;
STAP1,HPA038529;
TIMP2,CAB010203;
RFC1,CAB009520;HPA046116;HPA069306;
TBC1D23,HPA038151;HPA038152;
CUL3,CAB002678;
MYOM2,HPA001765;HPA005953;
OTC,HPA000243;HPA000570;
USP2,HPA006777;HPA007222;
RPL26L1,HPA030449;
NSUN2,HPA037896;
FBXO42,HPA025071;
MFAP3,HPA015883;HPA049198;
MRI1,HPA042744;CAB045988;
METTL1,HPA020914;HPA050450;
HOXC8,HPA028911;CAB037020;
AGA,HPA031415;HPA031417;
PI4K2B,HPA004099;
BOD1L1,HPA036943;HPA037362;HPA041290;
MAT2B,HPA037721;HPA037722;
EDC4,HPA041164;HPA043038;
TRIO,HPA008157;HPA064664;
MSR1,HPA000272;CAB032491;
CDH1,CAB000087;HPA004812;CAB028364;CAB072855;CAB072856;CAB072857;
MTREX,HPA037379;
DNAH5,HPA037469;HPA037470;
ZFYVE16,HPA035935;HPA035936;
RIPOR1,HPA005923;
C6,HPA043823;CAB069427;
RAI14,HPA036949;HPA036950;
SOX30,HPA006159;CAB009382;
PNKP,HPA006782;
PHLPP2,HPA040761;HPA041837;HPA048598;
SPDL1,HPA044700;HPA048146;
STAU2,HPA019155;CAB020836;
PQLC2,HPA057810;
PHF23,HPA052410;
CDH10,HPA010651;
INPP4A,HPA001628;
RAB27B,CAB017712;HPA019849;
PSMA4,CAB004973;HPA055466;HPA060613;
MYO16,HPA040110;HPA058769;HPA071948;
LSG1,HPA037704;HPA037705;
PARP3,HPA020984;HPA067657;
TNC,CAB004592;HPA004823;
RIPOR3,HPA051823;HPA054759;
AIFM2,HPA028961;HPA042309;HPA075576;
C2orf83,HPA030319;
RETSAT,HPA007961;HPA046513;
CAPG,HPA018843;HPA019080;HPA019092;
ZPBP,HPA058673;
TG,CAB000077;HPA002740;CAB056155;
BARX2,CAB033311;HPA064966;HPA068414;
DCUN1D1,HPA035911;
JADE2,HPA025959;HPA055789;
LCP2,CAB004574;HPA036396;HPA036397;
TRIT1,HPA024174;HPA027330;
ADRB1,HPA067972;
CUL7,CAB015449;HPA030095;HPA030096;
CTNNA1,CAB021089;HPA046119;HPA063535;
PHKA2,HPA002912;
CNTLN,HPA007201;HPA036728;HPA036729;
EPHA3,CAB010462;HPA069390;
HSPA5,CAB005221;HPA038845;HPA038846;
DSG2,HPA004896;CAB025122;
GEMIN8,HPA028613;
OFD1,HPA031102;HPA031103;HPA031104;
GPM6B,HPA002913;
MAGEC2,HPA062230;
PREX2,HPA015234;HPA075956;
WDR37,HPA037376;HPA037565;
YTHDC2,HPA037364;HPA072678;
CTPS2,HPA017437;HPA075930;
ATP6V1H,CAB009532;HPA023421;
