TSPAN6,HPA004109;
KRR1,HPA043433;HPA051690;
MRPL51,HPA039923;
GAPDH,CAB005197;CAB016392;HPA040067;HPA061280;
NOP2,HPA040119;
CHD4,HPA012008;
ACRBP,HPA039081;HPA039082;
UHRF1BP1L,HPA039671;HPA075150;
COPS7A,HPA026915;
USP5,HPA006756;
GNPTAB,HPA014558;HPA042343;
SPSB2,HPA055225;
ENO2,CAB000063;HPA068284;HPA068721;CAB073539;CAB079023;
ATN1,HPA031619;
C12orf57,HPA046182;HPA059163;HPA066043;
PTPN6,HPA001466;CAB004572;CAB072845;
SLCO1B3,HPA004943;HPA050892;
NANOG,CAB019380;HPA072117;
SUDS3,HPA040402;HPA041972;
GOLT1B,HPA055909;HPA066383;
GYS2,HPA039482;
LDHB,CAB004641;HPA019007;
PRKAB1,HPA004247;CAB005058;
CMAS,HPA039905;
ST8SIA1,HPA026775;
CLEC4A,HPA007842;
C2CD5,HPA046194;
PHC1,HPA006973;
COX6A1,HPA062394;
AL021546.1,HPA062394;
RFX4,HPA050527;
RIC8B,HPA039970;HPA042746;
SRSF9,HPA049849;
FGFR1OP2,HPA038308;HPA038696;
BTN3A3,HPA007904;HPA011871;
TDP2,CAB073398;HPA074011;
FRK,CAB025217;HPA030479;HPA072590;
DSE,HPA014764;HPA052151;
RWDD1,HPA028712;HPA028713;
PAK1IP1,HPA030111;HPA030112;
SMIM8,HPA007401;HPA067453;
NEDD9,HPA009689;CAB009720;HPA038768;HPA039270;HPA072955;
ADTRP,HPA048113;
MCM9,HPA031137;
FAM184A,HPA034571;HPA034572;HPA041955;
RNGTT,HPA003750;
MAN1A1,CAB037058;HPA053198;HPA063561;
SERINC1,HPA035738;HPA035739;
HDDC2,HPA035677;
TPD52L1,HPA027915;HPA027916;
HINT3,HPA027914;
NCOA7,HPA030289;HPA030290;HPA030291;HPA030292;
SASH1,HPA029947;HPA029949;
UST,HPA032022;
FBXO5,CAB008106;HPA029048;
PPARD,CAB017635;
OPRM1,HPA014509;HPA067435;
MAPK14,CAB010285;CAB040578;HPA051825;
RHAG,HPA046051;HPA055331;
KCTD20,HPA030092;
STK38,CAB004673;HPA038623;HPA051324;
SOD2,HPA001814;CAB002013;
MRPL18,HPA028774;HPA028775;
IL17A,HPA052258;
MCM3,CAB002162;HPA004789;HPA004790;
RNF8,HPA050731;HPA064925;
PHACTR1,HPA029755;HPA029756;HPA029757;
ICK,HPA000791;HPA001113;
CD83,CAB002509;HPA041454;
MDN1,HPA029666;HPA029667;HPA029668;HPA029669;
CAP2,HPA050530;HPA054147;
BAG2,HPA018862;HPA019918;
RAB23,HPA029135;HPA029136;
KHDRBS2,HPA000500;HPA029392;
FBXL4,HPA029140;CAB033362;
CCNC,CAB010499;HPA069322;
PTP4A1,HPA003281;
ASCC3,HPA031608;HPA031609;HPA031610;
HDGFL1,HPA045679;HPA063707;
BVES,HPA014788;HPA018176;
WASF1,HPA004105;CAB022161;
GPLD1,CAB008625;HPA012500;
ALDH5A1,HPA029715;HPA029716;
CRYBG1,CAB026378;HPA030948;HPA030949;
VNN1,HPA064145;
SMAP1,HPA030574;
RPS12,HPA006124;HPA006365;
C6orf62,HPA030564;HPA030566;
B3GAT2,HPA012059;
GMNN,CAB011458;CAB047327;CAB047328;HPA049977;HPA054597;
EYA4,HPA004805;HPA038771;HPA038772;
SOBP,HPA029242;
NR2E1,HPA036954;HPA055642;
SLC17A2,HPA038270;
HBS1L,HPA029728;HPA029729;
PEX7,HPA049202;
ZBTB24,HPA017872;HPA049003;
PERP,HPA022269;
ARFGEF3,HPA036350;
SLC16A10,HPA016860;
HECA,HPA012581;HPA042313;
ADGRG6,HPA017346;
PHACTR2,HPA031719;HPA031720;HPA031725;
SLC39A7,HPA053999;
CCR6,CAB006820;HPA014488;
UNC93A,HPA035729;
SLC22A2,HPA008549;CAB068236;CAB068237;
PHF1,HPA031038;
CUTA,CAB016787;HPA064369;
QKI,HPA019123;CAB022602;
C6orf118,HPA029787;HPA029789;
PDE10A,CAB045998;HPA047200;
MDFI,HPA049973;
CCND3,CAB000116;HPA042871;
BYSL,HPA031217;HPA031219;
TBP,CAB009442;HPA049805;
BICRAL,HPA029390;HPA029391;
SRF,HPA001819;CAB005416;
CUL9,HPA016434;HPA052004;
DNPH1,HPA029675;HPA029676;
DUSP22,HPA031394;
TMEM30A,HPA014561;
GMDS,HPA031528;
SENP6,HPA024376;
IMPG1,HPA027142;HPA030332;HPA030333;
VEGFA,CAB005429;CAB039240;HPA069116;CAB069907;
PRPF4B,HPA020638;
SLC29A1,HPA012384;
BTN2A1,HPA019208;
FBRSL1,HPA049880;
ENPP5,HPA016902;
LY86,CAB025000;HPA044895;
MEP1A,CAB025163;HPA029416;
ERBIN,HPA048606;HPA059863;
PCDHB2,HPA007548;
NUDT12,HPA045449;
CEP72,HPA058235;HPA074879;
C7,HPA001465;
HMGCS1,CAB032907;HPA036913;HPA036914;
DAP,HPA029456;
NME5,HPA035648;HPA044555;HPA058103;
BRD8,HPA001841;
NNT,HPA004829;CAB004975;
MRPS30,HPA018686;HPA021149;
HSPA9,HPA000898;CAB005219;
PFDN1,HPA006499;
HBEGF,HPA053243;
SLC4A9,HPA051307;
IK,HPA048798;
HMGCR,HPA008338;CAB016797;
COL4A3BP,HPA035645;HPA042608;
PCDHB3,HPA050296;
PCDHB5,HPA013191;HPA067473;
PCDHB7,HPA059271;
CLK4,HPA043746;
RNF130,HPA014499;
THG1L,HPA035877;HPA035878;
ARSB,HPA037770;HPA037771;
CLINT1,HPA043280;HPA056947;
THBS4,CAB004597;HPA042426;
IL12B,HPA040970;
TTC1,HPA036557;HPA057502;
RASGRF2,HPA018679;
CCNG1,CAB000350;
POLR3G,CAB010109;HPA052658;HPA074330;
CDH6,HPA007047;HPA007403;HPA007456;CAB025274;
LMNB1,CAB005269;HPA050524;CAB079757;
GOLPH3,HPA044564;HPA055841;
SUB1,HPA001311;CAB015351;
FAM172A,HPA012299;HPA045505;
SLC27A6,HPA008987;
TARS,HPA037425;
PDE4D,HPA045895;
AGXT2,HPA037382;
SLC12A7,HPA041652;
RAD50,CAB022103;CAB024979;HPA052291;
ST8SIA4,HPA051126;HPA053995;
GNPDA1,HPA000499;HPA046891;
PCDH12,HPA051242;
PPP2CA,CAB003848;HPA043236;
FGF1,HPA003265;CAB017519;
NR3C1,HPA004248;CAB010435;
C5orf15,HPA011951;HPA039165;
PPWD1,HPA019353;HPA019360;
TRAPPC13,HPA037777;
C9,CAB002151;HPA029577;
SEC24A,HPA038901;HPA056825;
TXNDC15,HPA015483;
RARS,HPA003979;HPA004130;
WWC1,HPA038016;HPA038017;
H2AFY,HPA041189;HPA050962;
TCERG1,HPA064854;HPA069752;HPA069808;
SMAD5,HPA058931;
CSNK1A1,CAB016680;HPA051334;
PDGFRB,CAB003842;CAB018144;HPA028499;
CDX1,HPA055196;
BNIP1,HPA008009;HPA008149;
HRH2,HPA013770;
ZNF346,HPA018485;
EHHADH,HPA036401;HPA042021;
CNTN3,HPA003341;
SMC4,HPA029449;CAB055509;
SELENOK,HPA008196;
TIMMDC1,HPA053214;HPA055846;
CRBN,HPA045910;
KNG1,HPA001616;HPA001645;CAB009809;
HRG,HPA050269;HPA054598;
BCL6,CAB000307;HPA004899;HPA050645;
HGD,HPA047374;HPA052359;
CLDN16,HPA056020;
ARL6,HPA019361;
NPHP3,HPA009150;
CD86,CAB004319;HPA026802;
NIT2,HPA036999;HPA041289;
OGG1,HPA027514;CAB047301;
KPNA1,HPA053627;HPA063426;
UBE3A,CAB009723;HPA039410;HPA040380;
ARMC8,HPA036996;HPA044869;
CEP70,HPA036941;HPA036942;
RBP2,HPA035866;
RBP1,HPA007338;CAB018603;CAB019276;
SLC25A36,HPA027036;
RNF7,HPA036995;
TFDP2,CAB018396;HPA070399;
KAT2B,HPA002470;CAB004526;HPA055839;HPA073897;
PDCD10,HPA027095;
PFKFB4,HPA047719;HPA066058;
COL7A1,CAB016357;HPA018877;HPA042420;
PRKAR2A,CAB005023;HPA038268;
ACAP2,HPA034807;HPA034808;
GNAT1,HPA045393;
TFG,HPA019473;HPA052206;
HYAL1,HPA002112;
NPRL2,HPA038196;HPA038197;
RPL24,HPA051653;
C3orf14,HPA048286;
CBLB,HPA018327;HPA019880;
GNB4,CAB018383;CAB018737;HPA040736;
HHLA2,HPA055478;
GBE1,HPA038073;HPA038074;HPA038075;
MORC1,HPA036413;
UMPS,HPA036178;HPA036179;
NCBP2,HPA044850;HPA062483;
SNX4,HPA005709;
C3orf52,HPA007678;HPA008119;HPA011968;
FRMD4B,HPA009705;
SLC41A3,HPA045847;
PLXNA1,HPA007499;CAB012483;
ATP6V1A,CAB006910;HPA035084;
ABTB1,HPA035022;HPA035023;
PODXL2,CAB024934;HPA042265;
UPK1B,HPA031799;HPA031800;
CSPG5,HPA049529;HPA067818;HPA071779;
KLHL18,HPA035027;HPA035028;
EFCC1,HPA042798;HPA050888;
KIAA1257,HPA042811;HPA048445;
NEK11,HPA016908;
HEMK1,HPA034701;HPA034702;
CISH,CAB034039;HPA040812;
ACVR2B,HPA007398;CAB025115;HPA040384;
COMMD2,HPA044190;
GORASP1,HPA056283;
ABCC5,HPA044067;HPA052295;
ABHD14B,HPA036444;HPA036642;
ABHD14A-ACY1,HPA036174;HPA036175;HPA038153;
ARHGEF26,HPA017722;HPA049195;
KLHL24,HPA056337;
PLCH1,HPA036176;HPA057978;
VIPR1,HPA026777;
SSR3,HPA014906;
TNNC1,CAB002450;HPA044848;HPA056897;
CLCN2,CAB009397;HPA014545;HPA024108;
FOXP1,HPA003876;CAB011501;
EIF4G1,CAB014774;HPA028487;HPA043866;
SPCS1,HPA046091;HPA055273;
EEF1B2,CAB012477;HPA035029;
DGUOK,HPA034766;HPA057246;
MOB1A,HPA047088;HPA071690;
KANSL3,HPA035017;HPA035018;
LMAN2L,HPA026600;
PIKFYVE,HPA042558;HPA042604;
FAHD2A,HPA042145;HPA044987;CAB045971;CAB045972;
NCL,CAB004210;HPA023981;HPA071110;
ZAP70,CAB002625;HPA003134;
ACTR3,CAB005085;HPA047016;HPA051683;
STEAP3,HPA050510;
EPB41L5,HPA037563;HPA037564;
TP53I3,CAB017479;HPA022012;HPA028742;
POMC,CAB002762;HPA046135;HPA063644;CAB079881;
STAM2,HPA035528;HPA035529;
GPD2,HPA008012;HPA045506;
CENPA,CAB008371;HPA073086;
GTF3C2,HPA008274;HPA035836;
ITGB6,HPA023626;CAB073536;
FNDC4,HPA051804;HPA063581;
PSMD14,HPA002114;HPA003828;
SNX17,HPA043867;
ASB3,HPA003940;
PCSK4,HPA005572;
GCG,CAB000040;HPA036760;HPA036761;
IFIH1,HPA002656;
RPS15,HPA054510;HPA057793;
GCA,HPA035033;HPA035034;
MOGS,HPA011322;HPA011969;
TTC31,HPA041783;
PCGF1,HPA011356;HPA069156;
GRB14,CAB022294;HPA035052;HPA035053;
CLIP4,HPA043366;HPA056246;
AUP1,HPA007674;
LOXL3,HPA035281;
DOK1,CAB004224;HPA048561;
GALNT3,HPA007613;
CCDC88A,HPA038101;HPA038102;
EVA1A,HPA008055;
MRPL19,HPA046805;HPA056622;
LANCL1,HPA034994;
REG1A,CAB025138;HPA045549;HPA045579;
FN1,CAB000126;HPA027066;
GLS,HPA036223;
PAPOLG,CAB017795;HPA035349;HPA035350;
PECR,HPA021593;HPA022539;
UNC50,HPA027009;
ELMOD3,HPA012126;
USP34,HPA025815;HPA070764;
CCT4,HPA029349;
GGCX,HPA018284;
NEU2,CAB022336;
OTX1,CAB012341;HPA052122;
TXNDC9,HPA031844;HPA031845;HPA031846;
COQ10B,HPA046057;
GNLY,CAB025186;HPA058021;
ST3GAL5,HPA034708;HPA040425;HPA068928;
CHST10,HPA012884;HPA051545;
PDCL3,HPA018469;HPA027094;
PLCD4,CAB009914;HPA038139;HPA038140;
CHMP3,HPA015673;HPA073383;
ZNF142,HPA049594;
IL1R2,HPA027597;HPA027598;
SMYD1,HPA062282;
IL1R1,HPA001237;HPA005823;CAB007779;HPA029560;
IL1RL1,HPA007406;HPA007917;
IL18R1,HPA007615;
SLC9A2,HPA035121;HPA035122;
FHL2,HPA005922;HPA006028;CAB008368;
MLPH,HPA014685;
CNPPD1,HPA049303;
STK16,HPA029450;
HDLBP,HPA004189;CAB026457;
PPP1R7,HPA034500;HPA034501;
PASK,HPA016450;HPA021079;
TPO,HPA007987;CAB009587;
PROC,HPA005550;CAB016721;CAB016792;
ODC1,HPA001536;CAB035996;
NOL10,HPA035286;HPA043075;
CEBPZ,HPA052065;
PRKD3,HPA029529;
DCAF17,HPA053339;HPA055040;
SLC25A12,HPA035333;HPA035334;
RMDN2,HPA034705;HPA034706;
SRSF7,HPA043850;HPA056926;
SDC1,CAB002424;HPA006185;HPA067477;
PLCL1,HPA031849;
SLC1A4,HPA034963;HPA034964;
SOS1,CAB005396;
KYNU,HPA031686;
WIPF1,HPA003739;CAB009737;HPA070706;
ORC2,CAB003693;HPA073881;
ORC4,CAB015124;HPA064562;
PLEK,HPA031838;HPA057341;
RND3,HPA060504;
ATF2,CAB003769;HPA022134;
C2orf42,HPA031840;HPA031841;HPA031842;
PCYOX1,HPA035193;
SUMO1,CAB004269;HPA056956;
CD207,CAB002222;HPA011216;
ATP6V1B1,CAB009523;HPA031847;
MSH6,CAB009091;HPA028376;HPA028446;CAB070870;
PLEKHA3,HPA034496;HPA034497;
SPR,HPA039505;
EPHA4,CAB028368;
PARD3B,HPA035283;
FARSB,HPA036677;HPA036678;HPA061398;
ALMS1,HPA035276;HPA043200;
BCL9,HPA020274;
PRRX1,HPA051084;HPA063566;
DHCR24,HPA017981;CAB037247;HPA063005;
DNAJC16,HPA043643;
MARK1,HPA007421;HPA008061;
TNR,CAB022343;HPA027134;HPA027150;HPA029859;
SCP2,HPA027101;HPA027135;HPA027317;
PAPPA2,HPA018412;HPA018430;
RALGPS2,HPA027143;HPA028328;
ANGPTL1,HPA009976;
CEP104,HPA010126;
FAM20B,HPA007409;
TCEANC2,HPA046918;
WRAP73,HPA026893;
NPHS2,CAB037267;HPA049486;
MRPL37,HPA025767;HPA025826;HPA025951;
PHF13,HPA026830;
PARK7,HPA004190;CAB005870;
AMPD2,HPA027137;HPA045760;HPA050590;
SRSF4,HPA050975;
MECR,HPA022018;HPA022030;HPA028740;
ATP5PB,HPA046067;HPA057347;
HDAC1,CAB005017;HPA029693;CAB068191;
CAPZA1,CAB045963;
RNF19B,HPA049587;HPA063640;
ASH1L,HPA004806;
DLGAP3,HPA026445;HPA027304;
SFPQ,CAB009886;HPA047513;HPA054689;
RHOU,HPA049592;
GON4L,HPA006986;HPA057305;HPA074504;
LAMTOR2,HPA004126;
MEF2D,HPA004807;HPA007114;
SRM,HPA015746;
FBXO6,HPA051175;
C1orf21,HPA026831;
SWT1,HPA024214;HPA027334;
DNAJC6,HPA031182;HPA054917;
IVNS1ABP,HPA003405;
KIAA2013,HPA052677;HPA060536;
PRG4,HPA028523;
SMG7,HPA029350;
NCF2,HPA002327;HPA006040;CAB022160;
PRAMEF12,HPA045286;HPA051704;
TROVE2,HPA002835;HPA005142;
AMPD1,HPA026478;HPA028080;
BCAS2,HPA067881;
SRSF11,HPA008762;
CTH,HPA021591;HPA023300;
AGMAT,HPA026443;HPA028321;
CRYZ,HPA021921;HPA023290;
CD2,CAB002430;HPA003883;
KIF21B,HPA027249;HPA027274;
ADPRHL2,HPA026641;HPA027104;HPA027141;
OSCP1,HPA028436;HPA052655;
MRPS15,HPA028100;HPA028134;HPA067137;
TSNAX,HPA024613;HPA031054;HPA031055;CAB034263;
C1orf109,HPA027110;HPA027127;
RRAGC,HPA018247;HPA055489;
NID1,CAB010044;
LGALS8,HPA012734;HPA030491;
NT5C1A,HPA050283;HPA054158;
SIPA1L2,HPA024181;HPA027224;
RLF,HPA054653;HPA057300;
ZNF684,HPA059153;
AKT3,CAB013090;HPA026441;
ETV3,HPA004794;HPA073211;
ACADM,HPA006198;HPA026542;
ST6GALNAC5,HPA065593;HPA070354;
CD48,CAB002497;HPA055146;
PADI2,HPA047735;
SDHB,HPA002868;CAB009822;CAB068233;CAB068234;CAB068235;
RPF1,HPA024642;
KDM5B,HPA027179;HPA053723;CAB068193;
ZNHIT6,HPA018132;
GBP3,HPA045657;
GBP1,CAB015450;
ECE1,HPA001490;HPA013616;
HMGCL,HPA004727;
ID3,CAB021353;HPA024677;
CR2,CAB002659;HPA052942;HPA060715;
CD46,CAB010401;HPA016903;
P3H1,HPA012113;HPA016980;
SLC2A1,CAB002759;HPA031345;HPA058494;
EBNA1BP2,HPA026512;HPA028277;
CDC20,CAB004525;HPA045842;HPA055288;
IPO13,CAB070425;
B4GALT2,HPA007620;HPA047739;
ERI3,HPA027147;HPA029895;
AKR1A1,CAB006246;HPA017919;HPA019649;HPA027734;
PRDX1,CAB004682;HPA007730;
PIK3R3,HPA005751;HPA071988;
BLZF1,HPA025703;HPA027331;HPA067113;
CCDC181,HPA027189;HPA027275;HPA027281;HPA027312;
SLC19A2,HPA006119;HPA016599;
FAAH,HPA007425;
TMED5,HPA050289;
DR1,HPA050785;HPA055308;
CNN3,CAB009849;HPA051237;
F3,CAB009438;HPA049292;HPA069132;
ABCD3,HPA032026;HPA032027;CAB032516;CAB075749;
VAMP4,HPA050418;
FASLG,HPA054959;
PTBP2,HPA047420;
PRDX6,HPA006983;CAB008663;
DARS2,HPA026506;HPA026528;
HSD11B1,HPA047729;
DIEXF,HPA026640;
PLPPR5,HPA018072;HPA059085;
SERPINC1,HPA001816;CAB016790;HPA024007;
RCAN3,HPA034533;HPA064289;
MTFR1L,HPA027124;HPA027130;
MAN1C1,HPA048352;
RPS6KA1,CAB003852;HPA007981;
DHDDS,HPA026721;HPA026727;
NSL1,HPA045761;HPA053721;
ARID1A,HPA005456;CAB016334;
STX12,HPA041038;HPA055300;
MARC2,HPA015085;HPA017572;
OSBPL9,HPA027378;HPA027397;
ESYT2,HPA002132;
CD3EAP,HPA041664;HPA041734;
MESD,HPA039414;HPA041721;
RCN2,HPA030694;HPA030695;
MUC5B,HPA008246;CAB009396;
STAG1,HPA035015;HPA058653;
A4GNT,HPA008017;
TREH,HPA039913;HPA042045;
IFT46,HPA037909;HPA057550;
MMP8,HPA021221;HPA022935;
SLC8A2,HPA050818;HPA054671;
KPTN,HPA041710;HPA041796;
RPS25,HPA031801;HPA078683;
KIF14,HPA038061;HPA058220;
TNNT2,CAB015371;HPA015774;HPA017888;
DDX59,HPA047166;
CAMSAP2,HPA026304;HPA026511;HPA027302;
TNP1,HPA044387;
CREB1,CAB003803;HPA019150;
KLF7,HPA003423;HPA030490;
TTR,CAB002517;HPA002550;CAB062567;CAB073406;
B4GALT6,CAB020701;HPA058284;
C1orf54,HPA026518;HPA043874;
CA14,HPA008482;
LRMP,HPA002967;HPA018505;
ATP10B,HPA034574;
SPCS2,HPA013386;
USP35,HPA055213;HPA058592;
FILIP1,HPA053564;
HMGN3,CAB018370;HPA027971;HPA063572;
SPACA1,HPA026744;HPA043297;
SGIP1,HPA017963;
PHF3,HPA024676;HPA025763;
ADGB,HPA036340;HPA036341;
AKAP7,HPA027172;HPA027200;HPA028327;
RAB32,HPA025731;
ALDH8A1,HPA026292;HPA055414;
SGK1,CAB022085;CAB025148;HPA051251;
ARG1,HPA003595;CAB009434;HPA024006;CAB056159;
CTGF,CAB005123;HPA031074;HPA031075;
TCF21,HPA013189;
MED28,HPA035900;HPA035901;
SLC16A7,HPA005911;
ZNF430,HPA059135;
MYL12B,HPA039262;HPA045244;HPA059197;
FOXO3,CAB004074;HPA063104;
CASQ2,HPA027285;HPA055298;
SPP1,HPA027540;HPA027541;
STBD1,HPA011952;HPA012849;
CCNI,CAB010206;HPA039853;HPA061470;
RARRES1,HPA003892;
RAB3GAP2,HPA026273;HPA027299;
EEF2KMT,HPA041610;
PPL,HPA042550;HPA059859;
UBN1,HPA061029;HPA069036;HPA069045;
UCHL3,HPA019678;CAB037139;CAB037208;
PCDH17,HPA026817;
HS1BP3,HPA035050;
LDAH,HPA034729;HPA034730;
WDR35,HPA044147;
CYP20A1,HPA055872;HPA058461;
SATB2,HPA001042;CAB023669;HPA029543;CAB062562;CAB067751;CAB068229;CAB068230;CAB068231;
GDA,HPA019352;HPA024099;HPA030387;
TJP2,HPA001813;CAB009228;HPA070714;
C2orf40,HPA008546;
PIGZ,HPA058599;HPA059920;
CCDC92,HPA038560;HPA057580;
C1orf198,HPA004798;
TRIM67,HPA034776;
RAD23B,HPA029718;HPA029720;CAB033868;
FAM206A,HPA035917;HPA035918;
WDR34,HPA040764;HPA041091;
SET,CAB005232;HPA063683;
RAB14,HPA026419;CAB037066;
FBXW2,HPA067878;
NEK6,CAB045993;HPA056828;
PPP6C,HPA050940;
NDUFA8,HPA041510;HPA041600;
RBM18,HPA057281;HPA077955;
HSDL2,HPA042890;HPA050453;
MAPKAP1,HPA029091;HPA029092;
NR4A3,HPA043360;
ALG2,HPA041512;HPA041601;
CSF3R,CAB017116;HPA048086;
KDSR,CAB003673;HPA044884;
VPS4B,HPA040393;CAB046445;HPA057649;
ONECUT2,HPA057058;
C19orf25,HPA050270;HPA067491;
ZBTB45,HPA035754;HPA075485;
YLPM1,HPA048070;HPA061123;
DCAF4,HPA047276;
PROX2,HPA045057;
FCF1,HPA046681;
BBOF1,HPA003090;HPA003136;HPA075108;
ACYP1,HPA034944;
IRF2BPL,HPA050862;HPA061333;
ACOT2,HPA043705;HPA060170;
AREL1,HPA051306;
FLVCR2,HPA037984;
DLST,HPA003010;
SLIRP,HPA020291;
RBM25,HPA003025;HPA070713;
ALDH6A1,HPA029072;HPA029073;HPA029074;HPA029075;
EIF2B2,HPA005841;CAB037105;HPA048028;
NRDE2,HPA047050;HPA050583;
COQ6,HPA051371;
SUPT7L,HPA039565;HPA063643;
KLHL29,HPA049057;HPA057379;
DNMT3A,CAB009469;HPA026588;
ATAD2B,HPA034555;
FKBP1B,HPA045572;HPA051798;
ATL2,HPA029108;HPA075302;
FAM98A,HPA036250;HPA036251;
AFTPH,HPA034990;HPA034991;
BCL11A,CAB014891;HPA029003;HPA075941;
EPCAM,CAB003809;HPA026761;CAB030012;CAB055098;HPA067463;
SLF2,HPA038499;HPA057568;
NKX2-3,HPA047561;
IFIT2,HPA003408;
CUTC,HPA038619;HPA058231;
PYROXD2,HPA037566;HPA037567;HPA067394;
CNNM1,HPA040408;
C10orf88,HPA039681;HPA040991;
HELLS,CAB004491;HPA063242;
AVPI1,HPA037649;
C10orf76,HPA050913;HPA053580;
KANSL1,HPA006874;HPA007208;
MSX2,HPA005652;
TEK,CAB010359;HPA073265;
CAAP1,HPA020404;HPA024029;HPA024100;
EQTN,HPA015089;HPA015504;
INSL6,HPA021364;
IFNA6,HPA047557;
IFNA8,HPA047557;
MTHFD1L,HPA015006;HPA029040;HPA029041;HPA050052;HPA074911;
PCMT1,HPA003239;
PLEKHG1,HPA027128;HPA027319;HPA028270;
CXorf21,HPA001185;
CYSTM1,HPA050930;
WDR55,HPA043470;HPA048143;HPA075133;
ARAP3,HPA042887;
PCDHB10,HPA013445;
PCDHB12,HPA045042;
SLC25A2,HPA042146;
TNN,CAB010907;HPA026726;HPA026764;
MRPS14,HPA051087;
CENPL,HPA044520;
GPR31,HPA014014;HPA027108;
ACAT2,CAB021106;HPA025736;HPA025765;HPA025811;
TCP1,CAB017460;HPA027337;HPA031082;
SNX19,HPA013447;
KCNJ5,HPA014722;HPA017353;CAB022569;
MSANTD2,HPA038694;HPA038695;
TP53AIP1,HPA044300;HPA048797;
TEX11,HPA002950;
PDZD11,HPA003972;
SLC10A7,HPA039996;
NUDCD1,HPA023183;
MASTL,HPA027175;HPA054273;
KIAA1217,HPA004941;
PLXDC2,HPA017268;HPA070793;
CCDC77,HPA038854;
TAF12,HPA008519;
TNFSF11,CAB009193;HPA045142;
MTRF1,HPA043316;
PROSER1,CAB034225;HPA055687;
UFM1,HPA039758;
WBP4,HPA038965;HPA058738;
ELF1,HPA001755;CAB005172;
SMAD9,CAB009119;HPA031162;
KBTBD7,HPA043709;HPA046861;HPA048914;
ETF1,CAB011686;HPA037511;
SIL1,HPA011949;
PAIP2,HPA035945;CAB037212;HPA056766;
MYOT,HPA037733;HPA037734;
KDM3B,HPA016610;HPA057202;
EGR1,CAB019427;HPA029937;HPA029938;
SERP1,HPA038970;
PLS1,HPA055744;HPA061936;
ZFP30,HPA030606;
GLT8D2,HPA012740;HPA026904;HPA070791;
MTERF2,HPA003526;
SOCS2,CAB010356;
NFYB,CAB004211;HPA065646;
WASHC3,HPA038339;
APAF1,HPA031373;CAB069399;
TNFRSF10B,HPA023625;
SORBS3,HPA015849;
PTK2B,CAB003850;HPA026091;HPA026276;
ADRA1A,HPA029678;HPA029679;HPA076693;
PPP3CC,HPA023396;CAB024950;
PDLIM2,HPA003880;
TARDBP,CAB003703;HPA017284;
TNFRSF8,CAB000016;HPA014823;HPA032081;HPA032082;
LYPLA1,HPA050941;HPA063151;
CRISPLD1,HPA024725;
COPS5,CAB004242;HPA004845;HPA051531;
AKAP1,HPA008620;HPA008691;CAB019286;
TRIM25,HPA005909;
SCPEP1,HPA039102;HPA057200;
TBX2,HPA008586;CAB013636;
SLC35B1,HPA048655;HPA057418;
TBX4,CAB032413;HPA044457;
FAM117A,HPA022531;
TRIM6,HPA060514;
ADCY7,HPA041218;HPA048241;
TSHZ3,HPA008834;HPA071010;
ECHDC2,HPA026731;HPA026768;
PLBD1,HPA040303;
IAPP,CAB000352;HPA053194;
KCNJ8,HPA031066;
BCL2L14,HPA040665;HPA059846;
PSPC1,HPA038904;
ZNF549,HPA039511;
A1BG,CAB016673;HPA044252;
ZSCAN18,HPA024318;
ZNF211,HPA011340;HPA049967;
PDZRN3,HPA038822;HPA061420;
TRMT1L,HPA026728;
CSTA,CAB000469;HPA001031;CAB047315;
DPPA4,CAB020678;HPA035249;HPA035250;
POPDC2,HPA024255;
B4GALT4,HPA046819;HPA063546;
CD80,CAB025368;HPA050092;
KIF18A,HPA039312;HPA039484;
CRY2,HPA037577;
PEX16,HPA043286;
CAT,CAB001515;HPA051282;HPA055838;
PILRB,HPA026750;
ZMYM2,HPA031765;
GJA3,HPA014821;
FABP3,CAB017830;HPA055754;
KHDRBS1,CAB005355;HPA051280;HPA056813;
TMEM39B,HPA040191;HPA040224;
CCRL2,HPA043238;
CCR2,CAB003793;
POLR3GL,HPA027288;
TNFSF10,HPA054938;
PIK3CA,HPA009985;CAB017804;
PDS5A,HPA036661;HPA036662;
LIAS,HPA018842;HPA019076;
ZSCAN20,HPA017933;
CSMD2,HPA008622;
HPCA,CAB012340;HPA043245;
LRIF1,HPA044515;
GPSM2,HPA007327;HPA008408;CAB018962;
ACVR2A,HPA046997;
MTIF3,HPA039791;
GTF3A,HPA007990;
RASL11A,HPA004859;HPA053296;
UBL3,HPA053772;HPA058781;
XPNPEP2,HPA000339;CAB025136;CAB025269;HPA064568;
OCRL,HPA012495;
PAEP,CAB016762;HPA020108;HPA029473;
OBP2A,HPA055955;
LAX1,HPA002461;HPA003887;CAB025358;
PLG,CAB000668;CAB016678;HPA021602;HPA048823;
KIAA1191,HPA044701;HPA048145;
COPA,HPA028024;
LY9,HPA050917;
HS3ST2,HPA017736;
PRM2,CAB032738;HPA056386;
SERAC1,HPA025715;HPA025716;
ANXA11,CAB004851;HPA027545;
FAM35A,HPA036582;
ZNF205,HPA001791;
ODF2L,HPA028020;HPA028095;HPA028333;
TRMT13,HPA028494;
ZNF644,HPA057795;
CCDC18,HPA028035;
BBS9,HPA021289;
PMS2,CAB010235;HPA066490;HPA070310;
ZMIZ2,HPA040716;
OCM,HPA046422;HPA052483;
KLHL7,HPA029491;HPA029492;
